Label,OpArea, OpStaticEnergy, OpDynEnergy,InstMemBitwidth, InstMemDepth,InstMemArea, InstMemStaticEn,InstMemDynEn,InternalRegFileBitwidth,InternalRegFileDepth,InternalRegFileAccesses,InternalRegFileArea, InternalRegFileStaticEn, InternalRegFileDynEn,TotalFUArea,TotalFUStaticEn,TotalFUDynEn
add_0,1854.383979,0.361825,2.436780,32,10,2286.815976,0.465620,0.019229,64,9,30,4063.247954,0.910000,1.100905,8204.447909,1.291054,25.660993
add_1,1854.383979,0.361825,2.436780,32,5,1226.063986,0.249045,0.012323,64,7,16,3198.719964,0.660450,0.501058,6279.167929,1.034598,12.746571
add_2,1854.383979,0.361825,2.436780,32,2,598.751994,0.119785,0.010196,64,3,6,1605.407984,0.327800,0.121059,4058.543957,0.699821,5.015012
add_3,1854.383979,0.361825,2.436780,32,2,598.751994,0.119785,0.010196,64,2,4,1182.383988,0.237495,0.080036,3635.519961,0.609516,4.973988
add_4,1854.383979,0.361825,2.436780,32,1,399.260876,0.076313,0.006251,64,1,2,781.945432,0.162846,0.030129,3035.590287,0.530921,2.473160
mul_0,33555.311530,6.193750,52.428970,32,19,4155.311956,0.855050,0.030925,64,21,74,8944.319904,1.922350,5.448222,46654.943390,8.147025,1002.186222
mul_1,33555.311530,6.193750,52.428970,32,6,1439.759984,0.292855,0.011999,64,9,20,4063.247954,0.910000,0.733937,39058.319468,7.115749,315.379748
load_0,0,0,0,16,50,5505.315299,1.113500,0.067021,64,1,69,781.945432,0.162846,1.039456,6287.260731,1.276346,4.390483
store_0,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_1,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_2,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_3,0,0,0,16,2,308.447998,0.061345,0.004658,64,2,4,1182.383988,0.237495,0.080036,1490.831986,0.298840,0.089351
