Label,OpArea, OpStaticEnergy, OpDynEnergy,InstMemBitwidth, InstMemDepth,InstMemArea, InstMemStaticEn,InstMemDynEn,InternalRegFileBitwidth,InternalRegFileDepth,InternalRegFileAccesses,InternalRegFileArea, InternalRegFileStaticEn, InternalRegFileDynEn,TotalFUArea,TotalFUStaticEn,TotalFUDynEn
add_0,1854.383979,0.361825,2.436780,32,6,1439.759984,0.292855,0.011999,64,5,12,2404.415974,0.492790,0.320183,5698.559937,0.866614,15.012854
add_1,1854.383979,0.361825,2.436780,32,4,1033.535988,0.209415,0.013193,64,3,8,1605.407984,0.327800,0.161412,4493.327951,0.702818,9.961304
add_2,1854.383979,0.361825,2.436780,32,5,1226.063986,0.249045,0.012323,64,5,12,2404.415974,0.492790,0.320183,5484.863939,0.866938,12.565697
add_3,1854.383979,0.361825,2.436780,32,4,1033.535988,0.209415,0.013193,64,4,10,2006.591976,0.416555,0.270766,4894.511943,0.791573,10.070658
add_4,1854.383979,0.361825,2.436780,32,1,399.260876,0.076313,0.006251,64,1,2,781.945432,0.162846,0.030129,3035.590287,0.530921,2.473160
mul_0,33555.311530,6.193750,52.428970,32,12,2688.335970,0.549350,0.025355,64,14,46,6076.559930,1.269800,2.743709,42320.207430,7.488905,632.195615
mul_1,33555.311530,6.193750,52.428970,32,5,1226.063986,0.249045,0.012323,64,7,18,3198.719964,0.660450,0.563690,37980.095480,6.866523,262.770154
mul_2,33555.311530,6.193750,52.428970,32,4,1033.535988,0.209415,0.013193,64,5,12,2404.415974,0.492790,0.320183,36993.263492,6.699733,210.088835
mul_3,33555.311530,6.193750,52.428970,32,2,598.751994,0.119785,0.010196,64,2,6,1182.383988,0.237495,0.120053,35336.447512,6.441441,104.998386
mul_4,33555.311530,6.193750,52.428970,32,1,399.260876,0.076313,0.006251,64,1,2,781.945432,0.162846,0.030129,34736.517838,6.362846,52.465350
mul_5,33555.311530,6.193750,52.428970,32,1,399.260876,0.076313,0.006251,64,1,2,781.945432,0.162846,0.030129,34736.517838,6.362846,52.465350
load_0,0,0,0,16,49,5397.238020,1.091625,0.065739,64,1,61,781.945432,0.162846,0.918939,6179.183452,1.254471,4.140159
load_1,0,0,0,16,1,209.528638,0.041625,0.004234,0,0,0,0,0,0,582.883195,0.041625,0.004234
store_0,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_1,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_2,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_3,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_4,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
