Label,OpArea, OpStaticEnergy, OpDynEnergy,InstMemBitwidth, InstMemDepth,InstMemArea, InstMemStaticEn,InstMemDynEn,InternalRegFileBitwidth,InternalRegFileDepth,InternalRegFileAccesses,InternalRegFileArea, InternalRegFileStaticEn, InternalRegFileDynEn,TotalFUArea,TotalFUStaticEn,TotalFUDynEn
add_0,1854.383979,0.361825,2.436780,32,8,1855.727982,0.383125,0.017434,64,9,26,4063.247954,0.910000,0.954118,7773.359915,1.289259,20.587826
add_1,1854.383979,0.361825,2.436780,32,6,1439.759984,0.292855,0.011999,64,6,14,2820.047970,0.578450,0.324309,6114.191933,0.952274,15.016981
add_2,1854.383979,0.361825,2.436780,32,2,598.751994,0.119785,0.010196,64,2,4,1182.383988,0.237495,0.080036,3635.519961,0.609516,4.973988
add_3,1854.383979,0.361825,2.436780,32,4,1033.535988,0.209415,0.013193,64,5,14,2404.415974,0.492790,0.373547,5292.335941,0.867808,10.173438
mul_0,33555.311530,6.193750,52.428970,32,16,3512.543962,0.728150,0.029217,64,18,62,7747.823912,1.643950,3.660173,44815.679404,7.866917,842.991169
mul_1,33555.311530,6.193750,52.428970,32,9,2075.807976,0.424290,0.021108,64,9,28,4063.247954,0.910000,1.027512,39694.367460,7.124858,473.078213
load_0,0,0,0,16,50,5505.315299,1.113500,0.067021,64,1,69,781.945432,0.162846,1.039456,6287.260731,1.276346,4.390483
store_0,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_1,0,0,0,16,2,308.447998,0.061345,0.004658,64,2,4,1182.383988,0.237495,0.080036,1490.831986,0.298840,0.089351
store_2,0,0,0,16,2,308.447998,0.061345,0.004658,64,2,4,1182.383988,0.237495,0.080036,1490.831986,0.298840,0.089351
