Label,OpArea, OpStaticEnergy, OpDynEnergy,InstMemBitwidth, InstMemDepth,InstMemArea, InstMemStaticEn,InstMemDynEn,InternalRegFileBitwidth,InternalRegFileDepth,InternalRegFileAccesses,InternalRegFileArea, InternalRegFileStaticEn, InternalRegFileDynEn,TotalFUArea,TotalFUStaticEn,TotalFUDynEn
add_0,1854.383979,0.361825,2.436780,32,9,2075.807976,0.424290,0.021108,64,8,26,3638.543966,0.771000,0.950000,7568.735921,1.153933,23.070992
add_1,1854.383979,0.361825,2.436780,32,5,1226.063986,0.249045,0.012323,64,8,16,3638.543966,0.771000,0.584616,6718.991931,1.145148,12.830130
add_2,1854.383979,0.361825,2.436780,32,2,598.751994,0.119785,0.010196,64,2,4,1182.383988,0.237495,0.080036,3635.519961,0.609516,4.973988
add_3,1854.383979,0.361825,2.436780,32,3,817.487992,0.165655,0.010257,64,3,8,1605.407984,0.327800,0.161412,4277.279955,0.699882,7.502523
add_4,1854.383979,0.361825,2.436780,32,1,399.260876,0.076313,0.006251,64,1,2,781.945432,0.162846,0.030129,3035.590287,0.530921,2.473160
mul_0,33555.311530,6.193750,52.428970,32,20,4345.823952,0.895500,0.031891,64,22,78,9353.567900,1.981900,5.588544,47254.703382,8.207541,1054.805764
mul_1,33555.311530,6.193750,52.428970,32,5,1226.063986,0.249045,0.012323,64,9,18,4063.247954,0.910000,0.660543,38844.623470,7.116073,262.867007
load_0,0,0,0,16,50,5505.315299,1.113500,0.067021,64,1,69,781.945432,0.162846,1.039456,6287.260731,1.276346,4.390483
store_0,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_1,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_2,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_3,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_4,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
