Label,OpArea, OpStaticEnergy, OpDynEnergy,InstMemBitwidth, InstMemDepth,InstMemArea, InstMemStaticEn,InstMemDynEn,InternalRegFileBitwidth,InternalRegFileDepth,InternalRegFileAccesses,InternalRegFileArea, InternalRegFileStaticEn, InternalRegFileDynEn,TotalFUArea,TotalFUStaticEn,TotalFUDynEn
add_0,1854.383979,0.361825,2.436780,32,5,1226.063986,0.249045,0.012323,64,8,16,3638.543966,0.771000,0.584616,6718.991931,1.145148,12.830130
add_1,1854.383979,0.361825,2.436780,32,4,1033.535988,0.209415,0.013193,64,4,10,2006.591976,0.416555,0.270766,4894.511943,0.791573,10.070658
add_2,1854.383979,0.361825,2.436780,32,5,1226.063986,0.249045,0.012323,64,4,10,2006.591976,0.416555,0.270766,5087.039941,0.790703,12.516280
add_3,1854.383979,0.361825,2.436780,32,4,1033.535988,0.209415,0.013193,64,3,6,1605.407984,0.327800,0.121059,4493.327951,0.702818,9.920951
add_4,1854.383979,0.361825,2.436780,32,2,598.751994,0.119785,0.010196,64,1,2,781.945432,0.162846,0.030129,3235.081405,0.534867,4.924081
mul_0,33555.311530,6.193750,52.428970,32,14,3100.943964,0.633550,0.029889,64,16,54,6899.087922,1.485500,3.212478,43555.343416,7.709139,737.636507
mul_1,33555.311530,6.193750,52.428970,32,6,1439.759984,0.292855,0.011999,64,8,20,3638.543966,0.771000,0.730770,38633.615480,6.976749,315.376581
mul_2,33555.311530,6.193750,52.428970,32,2,598.751994,0.119785,0.010196,64,3,6,1605.407984,0.327800,0.121059,35759.471508,6.531746,104.999392
mul_3,33555.311530,6.193750,52.428970,32,3,817.487992,0.165655,0.010257,64,3,8,1605.407984,0.327800,0.161412,35978.207506,6.531807,157.479093
load_0,0,0,0,16,50,5505.315299,1.113500,0.067021,64,1,69,781.945432,0.162846,1.039456,6287.260731,1.276346,4.390483
store_0,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_1,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_2,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_3,0,0,0,16,2,308.447998,0.061345,0.004658,64,2,4,1182.383988,0.237495,0.080036,1490.831986,0.298840,0.089351
